Video_ID,Author,Published At,Comment,cleaned_comment
oYOYvoJqs4Q,@nestanmozalora2725,2025-02-24T16:07:03Z,Dedi comberan koar2 merasa diri lebih benar..ngacah lo partai mu yg korupsi berjemaa..,dedi comberan koar2 benarngacah lo partai mu korupsi berjemaa
oYOYvoJqs4Q,@harisugiharja8943,2025-02-24T15:19:37Z,Bisanya cari kesalahan,bisa cari salah
oYOYvoJqs4Q,@harisugiharja8943,2025-02-24T15:17:48Z,Cocotnya,cocotnya
oYOYvoJqs4Q,@TapselTap,2025-02-24T15:04:34Z,Kader PDIP yang satu ini memang sangat kurang pendidikan,kader pdip didik
oYOYvoJqs4Q,@TaufiqRohman-s4c,2025-02-24T14:54:46Z,Kakean cangkem,kakean cangkem
oYOYvoJqs4Q,@Akuakuaku-u8v,2025-02-24T14:46:04Z,Pdip otaknya seperti te4oris,pdip otak te4oris
oYOYvoJqs4Q,@ujangiman2087,2025-02-24T14:45:50Z,"Jelas banget Dedi Sitorus,PDIP yang memprovokasi maha sewa,dan menyewanya😞",jelas banget dedi sitoruspdip provokasi maha sewadan sewa
oYOYvoJqs4Q,@AgusSundana-ic4dl,2025-02-24T14:35:23Z,"&quot;Habis Gelap Terbitlah Terang&quot; jangan lupakan sejarah, masa sudah terang benderang dibuat gelap lagi hargai para pahlawan bangsa yg telah mengorbankan jiwa dan raga untuk Indonesia",quothabis gelap terbit terangquot lupa sejarah terang benderang gelap harga pahlawan bangsa korban jiwa raga indonesia
oYOYvoJqs4Q,@Jazylah-i1j,2025-02-24T14:20:53Z,Narsumnya ecek2 gak ada yg bermutu😅😅😅😅😅😅😅😅,narsumnya ecek2 mutu
oYOYvoJqs4Q,@Jazylah-i1j,2025-02-24T14:19:54Z,Pembodoan publik ini petugas partai😅😅😅😅😅😅😅😅😅,pembodoan publik tugas partai
oYOYvoJqs4Q,@Jazylah-i1j,2025-02-24T14:19:20Z,Petugas partai gak nyambung😅,tugas partai nyambung
oYOYvoJqs4Q,@rehuellahpujilestari7826,2025-02-24T14:19:18Z,Yang baca itu rombongan lo memang bener enggak ada otak nggak ada akhlak,yang baca rombong lo bener otak nggak akhlak
oYOYvoJqs4Q,@rehuellahpujilestari7826,2025-02-24T14:17:57Z,Kok Asta aja yang dihukum maunya kayak gitu,kok asta aja hukum mau kayak gitu
oYOYvoJqs4Q,@rehuellahpujilestari7826,2025-02-24T14:16:29Z,Orang ini selama 2014 sampai 2019 adem ayem aja sekarang ngoceh-ngoceh besok-besok maaf maaf😂😂😂,orang 2014 2019 adem ayem aja ngocehngoceh besokbesok maaf maaf
oYOYvoJqs4Q,@rehuellahpujilestari7826,2025-02-24T14:15:12Z,Orang ini lempar batu sembunyi tangan dari cara ngomongnya aja udah kelihatan menunjukkan emosinya merah-merah,orang lempar batu sembunyi tangan ngomongnya aja udah emosi merahmerah
oYOYvoJqs4Q,@Mimilikan22,2025-02-24T14:08:56Z,"Mantan koruptor kok jadi narasumber, ILC(indonesia lawyer klub) makin ngawur",mantan koruptor narasumber ilcindonesia lawyer klub ngawur
oYOYvoJqs4Q,@suronoono5175,2025-02-24T14:07:26Z,Ada politisi yg bagi2 duit ke demo tuh...,ada politis bagi2 duit demo tuh
oYOYvoJqs4Q,@frankandhy8766,2025-02-24T12:39:47Z,Ini Deddy sitarus mereka ini perusak dan bagian dari otak2&#39;privokator demo,ini deddy sitarus usak otak2privokator demo
oYOYvoJqs4Q,@frankandhy8766,2025-02-24T12:38:50Z,Jangan percaya itu Deddy sitarus,jangan percaya deddy sitarus
oYOYvoJqs4Q,@frankandhy8766,2025-02-24T12:38:31Z,"Indonesia hancur karena manusia2 seperti Deddy sitarus, Hasto",indonesia hancur manusia2 deddy sitarus hasto
oYOYvoJqs4Q,@mustikamala3545,2025-02-24T12:36:45Z,Kirain pemimpin sekarang akan lebih baik. Eh ternyata bisa dikata makin menurun,kirain pimpin eh kata turun
oYOYvoJqs4Q,@mustikamala3545,2025-02-24T12:33:17Z,Uang operasional kampus dipotong? Penerima KIP diefesiensi juga,uang operasional kampus potong terima kip diefesiensi
oYOYvoJqs4Q,@TifannyIdelia,2025-02-24T12:29:47Z,"barisan sakit hati, klu ngak bisa bersaing sehat jgn fitnah org yg baik, Tuhan lawanmu",baris sakit hati klu ngak saing sehat jgn fitnah org tuhan lawan
oYOYvoJqs4Q,@mariyah8609,2025-02-24T12:26:33Z,salahnya apa jokowi hingga dedi setorus sangat membencinya,salah jokowi dedi torus benci
oYOYvoJqs4Q,@dianandriyan9013,2025-02-24T11:35:46Z,"Yang ngomong udah bermanfaat lom buat rakyat banyak, bukan kader lho, kebanyakan kan kalo menang ada kali program buat rakyat yg jalanin kader, tuh yg 10 tahun, heheheehhe....😂😂😂",yang ngomong udah manfaat lom rakyat kader lho banyak kalo menang kali program rakyat jalanin kader tuh 10 heheheehhe
oYOYvoJqs4Q,@AldanHafiz-mq2kx,2025-02-24T11:32:10Z,"Masyarakat udh pd tau mana yg jujur mana yg tdk, PK PRABOWO  orangnya JUJUR LEGOWO dan suka noloong wong cilik",masyarakat udh pd tau jujur pk prabowo orang jujur legowo suka noloong cilik
oYOYvoJqs4Q,@GiyonoJember,2025-02-24T11:20:23Z,Rakyat udah muak sama Dedy Sitorus cuma bisa ngomong tidak ada manfaatnya buat rakyat.,rakyat udah muak dedy sitorus ngomong manfaat rakyat
oYOYvoJqs4Q,@vivpoydya8972,2025-02-24T11:19:41Z,"Ilc sekarang ini GK bermutu, kumpulan orang nyinyir GK berkualitas",ilc gk mutu kumpul orang nyinyir gk kualitas
oYOYvoJqs4Q,@vivpoydya8972,2025-02-24T11:18:34Z,"Dedi seturus bacot Lo muf on2<br>Nyinyir trus, ada gak Prabowo nyinyir jikala PDI p masih berkuasa, <br>Mahadewa itu km orang itu lah yg nyewa",dedi turus bacot lo muf on2brnyinyir trus prabowo nyinyir jikala pdi p kuasa brmahadewa km orang nyewa
oYOYvoJqs4Q,@GiyonoJember,2025-02-24T11:17:31Z,Saya mau tanya sama Dedy Sitorus kamu bisa apa buat bangsa dan negara coba tunjukan satu aja bisa apa coba rakyat menunggu jawabanmu ded.,saya dedy sitorus bangsa negara coba tunjuk aja coba rakyat tunggu jawab ded
oYOYvoJqs4Q,@SuryanPanca,2025-02-24T11:15:37Z,"Wahai rakyat indonesia janganlah mendung pdi p lagi kita sudah muak mendengar dari tokoh2nya mau menang sendiri yidak ada mutunya. <a href=""https://www.youtube.com/watch?v=oYOYvoJqs4Q&amp;t=466"">7:46</a>",wahai rakyat indonesia mendung pdi p muak dengar tokoh2nya menang yidak mutu a href
oYOYvoJqs4Q,@SuryanPanca,2025-02-24T11:09:42Z,"Orang yg suka mengertik presiden sepatutnya tinggalkan namanya saja buat apa tubuhnya ada diatas bumi ini kami rakyat sudah muak mendengarnya.<br><a href=""https://www.youtube.com/watch?v=oYOYvoJqs4Q&amp;t=284"">4:44</a>",orang suka mengertik presiden patut tinggal nama tubuh atas bumi rakyat muak mendengarnyabra href
